ques_naire;user_id;propertyid;createtime;min-erittain-korkea-asuinalue-sopii-helsinkiin;kuinka-todennakoisesti-asut-alueella-viela-5-vuoden-kuluttua;min-mieluiten-ulkoilen-laajassa-metsassa-vaikka-se-olisi-vahan-kauempana-kotoa;tarkein;min-kiinnostavin-uusi-kulttuuri-syntyy-kohtaamisista-kaupungissa;min-haluan-tehda-paivittaiset-ostokseni-vahan-kerrallaan-lahella-kotia;min-jos-raideliikenteen-yhteyksia-parannetaan-kayttaisin-raideliikennetta-nykyista-enemman-seka-tyomatkoihini-etta-vapaa-ajalla;toiseksi-tarkein;jos-asut-muualla-kuin-helsingissa-missa-asu;min-esikaupungeissa-tehokkain-rakentaminen-kannattaisi-keskittaa-asemien-laheisyyteen;min-suurkaupunki-ja-sen-monet-mahdollisuudet-ovat-kiehtovia;kolmenneksi-tarkein;ika;missa-kaupunginosassa-asut;user-language;min-helsingin-keskustaan-johtavien-isojen-teiden-muuttaminen-puistokaduiksi-on-hyva-idea;min-koska-helsinki-kasvaa-pitaa-sita-tiiviistaa;elamantilanne-asumismuoto;min-autoilun-tarpeen-vahentamiseksi-olen-valmis-hyvaksymaan-tiiviimpaa-rakentamista-asuinalueellani;min-asuinalueeltani-loytyy-viela-paikkoja-joita-voisi-kayttaa-rakentamiseen
"mita-ajattelet-tulevaisuuden-k";"150";"223";"2013-11-04T08:04";"2,38";"erittain-epatodennakoisesti";"97,22";"polkupyora";"1,98";"1,19";"1,59";"kavely"; ;"1,98";"0,79";"joukkoliikenne";"40-49";"Laakso";"fi";"1,19";"0,4";"lapsiperhe";"0,79";"0,4"
"mita-ajattelet-tulevaisuuden-k";"151";"225";"2013-11-04T08:05";"0";"melko-todennakoisesti";"75,56";"joukkoliikenne";"0";"61,27";"0";"henkiloauto"; ;"0";"0";"polkupyora";"30-39";"Oulunkylä (Pirkkola, Maunula, Metsälä, Patola, Veräjämäki, Veräjälaakso)";"fi";"0";"0";"lapsiperhe";"17,62";"7,22"
"mita-ajattelet-tulevaisuuden-k";"152";"227";"2013-11-04T08:05"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"154";"235";"2013-11-04T08:09";"37,56";"melko-todennakoisesti";"76,45";"joukkoliikenne";"8,15";"15,34";"61,77";"polkupyora"; ;"72,88";"8,16";"kavely";"30-39";"Sörnäinen";"fi";"3,43";"26,32";"yksin-asuva";"14,15";"68,51"
"mita-ajattelet-tulevaisuuden-k";"155";"238";"2013-11-04T08:09";"42,22";"melko-todennakoisesti";"91,43";"polkupyora";"0";"1,35";"39,45";"joukkoliikenne"; ;"0";"0";"kavely";"30-39";"Pasila";"fi";"0";"0,16";"lapsiperhe";"0";"17,22"
"mita-ajattelet-tulevaisuuden-k";"158";"244";"2013-11-04T08:12";"0";"erittain-epatodennakoisesti"; ;"henkiloauto";"0";"30,32";"0";"joukkoliikenne"; ;"27,54";"0";"kavely";"30-39";"Vartiokylä (Vartioharju, Puotila, Puotinharju, Myllypuro, Marjaniemi, Itäkeskus)";"fi";"0";"0";"yksin-asuva";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"159";"249";"2013-11-04T08:13";"71,98";"vaikea-sanoa";"18,02";"joukkoliikenne";"10,87";"13,25";"21,98";"polkupyora"; ;"15,63";"16,43";"kavely";"20-24";"Kallio";"fi";"9,29";"0";"yhteiso";"24,76";"24,76"
"mita-ajattelet-tulevaisuuden-k";"161";"259";"2013-11-04T08:15";"66,83";"melko-epatodennakoisesti";"95,79";"polkupyora";"3,73";"0,56";"24,55";"joukkoliikenne"; ;"12,46";"17,62";"kavely";"30-39";"Alppiharju";"fi";"25,16";"16,03";"yksin-asuva";"20";"34,68"
"mita-ajattelet-tulevaisuuden-k";"162";"270";"2013-11-04T08:16";"24,21";"erittain-todennakoisesti";"100";"joukkoliikenne";"25";"0";"0";"henkiloauto"; ; ;"25";"kavely";"30-39";"Lauttasaari";"fi";"50";"0";"pariskunta";"17,46";"64,68"
"mita-ajattelet-tulevaisuuden-k";"163";"271";"2013-11-04T08:16";"100";"melko-todennakoisesti";"68,15";"joukkoliikenne";"100";"27,14";"35,01";"henkiloauto"; ;"74,43";"74,1";"kavely";"40-49";"Mellunkylä (Kontula,  Vesala, Mellunmäki, Kivikko, Kurkimäki)";"fi"; ;"91,3";"lapsiperhe";"100";"100"
"mita-ajattelet-tulevaisuuden-k";"164";"276";"2013-11-04T08:17"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"165";"278";"2013-11-04T08:17"; ;"erittain-todennakoisesti";"24,03";"polkupyora";"21,74";"8,24";"10,07";"kavely"; ;"10,98";"10,3";"joukkoliikenne";"20-24";"Ruskeasuo";"fi";"1,37";"1,37";"pariskunta";"0,23";"0,23"
"mita-ajattelet-tulevaisuuden-k";"167";"286";"2013-11-04T08:17";"0";"melko-epatodennakoisesti";"25,25";"kavely";"14,14"; ;"0";"joukkoliikenne"; ;"13,26";"0";"henkiloauto";"30-39";"Kallio";"fi";"22,38";"0";"yksin-asuva";"0";"38,35"
"mita-ajattelet-tulevaisuuden-k";"168";"293";"2013-11-04T08:17";"28,34";"melko-epatodennakoisesti";"100";"kavely";"33,89";"0";"27,64";"joukkoliikenne";"muualla-suomessa";"30,9";"0"; ;"30-39"; ;"en";"21,29";"41,03";"pariskunta";"0"; 
"mita-ajattelet-tulevaisuuden-k";"169";"302";"2013-11-04T08:19";"30,81";"erittain-todennakoisesti";"66,85";"joukkoliikenne";"74,86";"36,77";"37,96";"kavely"; ;"30,02";"27,64";"henkiloauto";"20-24";"Herttoniemi (Roihuvuori)";"fi";"86,37";"18,91";"yksin-asuva";"27,64";"16,53"
"mita-ajattelet-tulevaisuuden-k";"171";"318";"2013-11-04T08:23";"27,44";"melko-todennakoisesti";"77,84";"polkupyora";"14,35";"23,47";"0";"joukkoliikenne"; ;"0";"0";"kavely";"30-39";"Vuosaari";"fi";"0";"0";"pariskunta";"4,43";"0"
"mita-ajattelet-tulevaisuuden-k";"172";"322";"2013-11-04T08:23";"100";"erittain-todennakoisesti";"25,6";"joukkoliikenne";"29,96";"0";"12,9";"henkiloauto"; ;"79,96000000000001";"79,96000000000001";"kavely";"40-49";"Tapaninkylä";"fi";"0,2";"88,29";"lapsiperhe";"87,10000000000001";"86,31"
"mita-ajattelet-tulevaisuuden-k";"173";"323";"2013-11-04T08:23";"60,08";"melko-epatodennakoisesti";"90,24";"joukkoliikenne";"25,16";"0";"79,92";"polkupyora"; ;"10,08";"0";"kavely";"25-29";"Meilahti";"en";"0";"10,08";"pariskunta";"5,28";"5,2"
"mita-ajattelet-tulevaisuuden-k";"174";"335";"2013-11-04T08:27";"50,21";"erittain-todennakoisesti";"20,39";"polkupyora";"23,27";"2,43";"20,79";"kavely"; ;"12,06";"13,64";"joukkoliikenne";"20-24";"Ruskeasuo";"fi";"0";"0";"pariskunta";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"177";"352";"2013-11-04T08:32";"19,6";"melko-todennakoisesti";"85,08";"joukkoliikenne";"0";"10,44";"22,38";"polkupyora"; ;"0";"12,06";"kavely";"30-39";"Taka-Töölö";"en";"10,36";"10,36";"yhteiso";"10,08";"27,14"
"mita-ajattelet-tulevaisuuden-k";"178";"353";"2013-11-04T08:32";"0";"erittain-todennakoisesti";"64,29";"joukkoliikenne";"0";"26,19";"6,35";"kavely"; ;"26,19";"0";"henkiloauto";"40-49";"Herttoniemi (Roihuvuori)";"fi";"0";"21,03";"pariskunta";"18,25";"17,46"
"mita-ajattelet-tulevaisuuden-k";"180";"356";"2013-11-04T08:32";"23,97";"erittain-todennakoisesti";"33,49";"polkupyora";"12,46";"0";"0";"henkiloauto"; ;"0";"23,18";"joukkoliikenne";"30-39";"Lauttasaari";"fi";"0";"0";"pariskunta";"0";"25,56"
"mita-ajattelet-tulevaisuuden-k";"181";"367";"2013-11-04T08:35";"10,87";"melko-todennakoisesti";"11,67";"joukkoliikenne";"0";"14,05";"8,99";"kavely"; ;"8,89";"2,94";"polkupyora";"25-29";"Oulunkylä (Pirkkola, Maunula, Metsälä, Patola, Veräjämäki, Veräjälaakso)";"fi";"0";"0";"yksin-asuva";"7,3";"0"
"mita-ajattelet-tulevaisuuden-k";"182";"369";"2013-11-04T08:36";"0";"vaikea-sanoa";"81,51";"henkiloauto";"75,56";"100";"0";"polkupyora"; ;"25,83"; ;"kavely";"25-29";"Tapaninkylä";"en";"100";"24,37";"muu"; ;"100"
"mita-ajattelet-tulevaisuuden-k";"183";"375";"2013-11-04T08:38"; ;"vaikea-sanoa";"70,79";"polkupyora";"4,52";"22,38";"13,25";"kavely";"ulkomailla";"4,92";"0";"joukkoliikenne";"30-39";"";"en";"0";"2,14";"yksin-asuva";"0";"17,22"
"mita-ajattelet-tulevaisuuden-k";"184";"392";"2013-11-04T08:40";"81,15";"vaikea-sanoa"; ;"joukkoliikenne"; ;"22,82"; ;"polkupyora"; ;"22,82";"0";"kavely";"25-29";"Taka-Töölö";"fi";"49,800000000000004";"75,2";"yksin-asuva"; ;"82,74"
"mita-ajattelet-tulevaisuuden-k";"185";"393";"2013-11-04T08:40";"0";"erittain-todennakoisesti";"33,89";"polkupyora";"16,03"; ;"0";"kavely"; ;"0";"15,24";"joukkoliikenne";"30-39";"Ruskeasuo";"en";"0";"0";"lapsiperhe";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"186";"400";"2013-11-04T08:41";"35,87";"erittain-todennakoisesti";"75,15";"polkupyora";"18,8";"76,34";"7,69";"henkiloauto"; ;"22,77";"19,2";"joukkoliikenne";"30-39";"Viikki";"en";"22,37";"9,48";"lapsiperhe";"30,310000000000002";"37,45"
"mita-ajattelet-tulevaisuuden-k";"187";"404";"2013-11-04T08:42"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"189";"430";"2013-11-04T08:45"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"190";"432";"2013-11-04T08:45"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"en"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"191";"440";"2013-11-04T08:48";"1,35";"erittain-todennakoisesti";"28,73";"kavely";"13,65";"12,06";"4,52";"polkupyora"; ;"0";"14,05";"joukkoliikenne";"30-39";"Pasila";"fi";"0,16";"2,14";"yksin-asuva";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"192";"445";"2013-11-04T08:50"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"194";"448";"2013-11-04T08:51"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"199";"459";"2013-11-04T08:58"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"200";"461";"2013-11-04T08:58";"13,36";"vaikea-sanoa";"0";"joukkoliikenne";"12,94";"0";"11,67";"kavely"; ;"0";"0";"henkiloauto";"25-29";"Taka-Töölö";"fi";"0";"0";"yksin-asuva";"0";"11,27"
"mita-ajattelet-tulevaisuuden-k";"201";"463";"2013-11-04T08:59"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"202";"2114";"2013-11-04T10:58";"100";"melko-todennakoisesti";"95";"joukkoliikenne";"100";"15,24";"91,11";"kavely"; ;"90,24";"95";"henkiloauto";"30-39";"Lauttasaari";"fi";"91,03";"100";"pariskunta";"100";"75,56"
"mita-ajattelet-tulevaisuuden-k";"203";"469";"2013-11-04T09:01";"0";"erittain-epatodennakoisesti";"35,58";"henkiloauto";"73,18";"100";"0";"polkupyora"; ;"0";"73,97";"joukkoliikenne";"30-39";"Suurmetsä (Puistola, Heikinlaakso, Tattarisuo, Jakomäki, Alppikylä)";"fi";"79,53";"100";"lapsiperhe";"73,97";"29,53"
"mita-ajattelet-tulevaisuuden-k";"204";"473";"2013-11-04T09:02"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"en"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"205";"478";"2013-11-04T09:03";"0";"melko-todennakoisesti";"69,21";"joukkoliikenne";"0";"16,43";"31,91";"kavely"; ;"15,24";"0";"henkiloauto";"30-39";"Hermanni";"en";"0";"27,15";"pariskunta";"15,24";"0"
"mita-ajattelet-tulevaisuuden-k";"206";"481";"2013-11-04T09:04";"10,32";"melko-todennakoisesti";"16,27";"polkupyora";"7,94";"8,33";"25,77";"joukkoliikenne"; ;"23,02";"5,95";"henkiloauto";"30-39";"Kallio";"fi";"0";"0";"yksin-asuva";"0";"19,05"
"mita-ajattelet-tulevaisuuden-k";"207";"483";"2013-11-04T09:04";"80,36";"erittain-todennakoisesti";"65,28";"joukkoliikenne";"29,560000000000002";"12,1";"73,21000000000001";"kavely";"muualla-suomessa";"72,02";"17,26";"henkiloauto";"40-49";"Pukinmäki";"fi";"31,150000000000002"; ;"yksin-asuva";"72,42";"75,2"
"mita-ajattelet-tulevaisuuden-k";"208";"491";"2013-11-04T09:06"; ;"melko-todennakoisesti";"0";"joukkoliikenne"; ;"97,88";"3,1";"henkiloauto"; ;"25,68"; ;"polkupyora";"30-39";"Kaarela (Kannelmäki, Maununneva, Malminkartano, Hakuninmaa, Kuninkaantammi, Honkasuo)";"fi";"5,42";"20,1";"lapsiperhe";"64,15";"12,16"
"mita-ajattelet-tulevaisuuden-k";"209";"494";"2013-11-04T09:06";"7,3";"erittain-epatodennakoisesti";"27,54";"joukkoliikenne";"81,91";"62,46";"33,89";"kavely"; ;"5,72";"69,21";"polkupyora";"20-24";"Mellunkylä (Kontula,  Vesala, Mellunmäki, Kivikko, Kurkimäki)";"en";"44,21";"26,75";"yhteiso";"33,49";"23,18"
"mita-ajattelet-tulevaisuuden-k";"210";"496";"2013-11-04T09:07";"0";"erittain-todennakoisesti";"0";"joukkoliikenne";"0";"0";"0";"polkupyora"; ;"0";"0";"henkiloauto";"30-39";"Laajasalo";"en";"0";"0";"pariskunta";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"211";"501";"2013-11-04T09:07";"12,46";"melko-todennakoisesti"; ;"henkiloauto";"21,59"; ;"23,18";"joukkoliikenne";"ulkomailla";"1,35";"1,35";"kavely";"40-49"; ;"fi";"0";"0";"lapsiperhe";"20";"0"
"mita-ajattelet-tulevaisuuden-k";"212";"520";"2013-11-04T09:09";"8,49";"erittain-epatodennakoisesti";"22,38";"kavely";"0";"7,58";"12,06";"joukkoliikenne"; ;"0";"0";"polkupyora";"30-39";"Kamppi";"en";"0";"0";"pariskunta";"0";"33,1"
"mita-ajattelet-tulevaisuuden-k";"213";"526";"2013-11-04T09:10";"0";"erittain-todennakoisesti";"100";"henkiloauto";"100";"0";"0";"henkiloauto"; ;"100";"0";"kavely";"25-29";"Kruununhaka";"fi";"100";"0";"pariskunta";"100";"70,28"
"mita-ajattelet-tulevaisuuden-k";"214";"553";"2013-11-04T09:11";"100";"melko-epatodennakoisesti";"96,23";"joukkoliikenne"; ; ;"100";"henkiloauto"; ; ; ;"kavely";"40-49";"Kumpula";"fi"; ;"73,61";"yksin-asuva"; ;"100"
"mita-ajattelet-tulevaisuuden-k";"215";"556";"2013-11-04T09:12";"5,36";"erittain-todennakoisesti";"70,04";"henkiloauto";"35,910000000000004";"0,6";"0";"joukkoliikenne"; ;"25,2";"26,39";"polkupyora";"25-29";"Pasila";"fi";"38,69";"0";"pariskunta";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"216";"559";"2013-11-04T09:12"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"217";"563";"2013-11-04T09:12";"100";"erittain-todennakoisesti";"100";"joukkoliikenne";"100";"25,2"; ;"polkupyora"; ;"100";"100";"henkiloauto";"25-29";"Ruskeasuo";"fi";"73,21000000000001";"100";"pariskunta";"100";"100"
"mita-ajattelet-tulevaisuuden-k";"218";"594";"2013-11-04T09:14";"21,19";"erittain-epatodennakoisesti";"70";"polkupyora";"10,48";"27,54";"89,84";"kavely";"ulkomailla";"0";"8,89";"joukkoliikenne";"25-29"; ;"fi";"0";"0";"yksin-asuva";"0";"62,07"
"mita-ajattelet-tulevaisuuden-k";"219";"595";"2013-11-04T09:14";"0";"vaikea-sanoa";"97,03";"henkiloauto";"100";"99,81";"100";"henkiloauto";"muualla-uudenmaan-alueella";"49,01";"49,81";"henkiloauto";"50-59"; ;"fi";"100";"98,22";"yksin-asuva";"100";"100"
"mita-ajattelet-tulevaisuuden-k";"220";"615";"2013-11-04T09:16";"18,41";"erittain-todennakoisesti";"39,83";"joukkoliikenne";"0";"24,96";"36,660000000000004";"kavely"; ;"0";"0";"polkupyora";"25-29";"Oulunkylä (Pirkkola, Maunula, Metsälä, Patola, Veräjämäki, Veräjälaakso)";"fi";"0";"0";"lapsiperhe";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"221";"625";"2013-11-04T09:16";"73,97";"erittain-todennakoisesti";"21,99";"joukkoliikenne";"8,1";"12,86";"14,45";"kavely"; ;"6,51";"0";"henkiloauto";"25-29";"Kallio";"fi";"0";"0";"pariskunta";"6,51";"12,86"
"mita-ajattelet-tulevaisuuden-k";"222";"630";"2013-11-04T09:16"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"en"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"223";"632";"2013-11-04T09:17"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"225";"654";"2013-11-04T09:19"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"226";"655";"2013-11-04T09:19";"72,11";"erittain-todennakoisesti"; ;"joukkoliikenne"; ; ;"24,02";"henkiloauto"; ;"33,1";"41,85";"kavely";"30-39";"Länsisatama (Ruoholahti, Salmisaari, Lapinlahti, Jätkäsaari, Hernesaari)";"fi";"34,21"; ;"pariskunta";"71,45";"68,12"
"mita-ajattelet-tulevaisuuden-k";"227";"656";"2013-11-04T09:19";"50,120000000000005";"melko-epatodennakoisesti";"58,88";"joukkoliikenne"; ;"0,9500000000000001"; ;"kavely"; ; ; ;"polkupyora";"30-39";"Kallio";"en"; ;"33,49";"yksin-asuva"; ; 
"mita-ajattelet-tulevaisuuden-k";"229";"665";"2013-11-04T09:20"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"230";"666";"2013-11-04T09:20";"100";"erittain-todennakoisesti";"100";"kavely";"0";"0";"100";"henkiloauto"; ;"0";"0";"joukkoliikenne";"30-39";"Punavuori";"fi";"0";"27,98";"yksin-asuva";"0";"27,98"
"mita-ajattelet-tulevaisuuden-k";"232";"675";"2013-11-04T09:21";"61,51";"vaikea-sanoa";"65,28";"joukkoliikenne";"73,21000000000001";"11,11";"0";"kavely"; ; ;"24,01";"polkupyora";"30-39";"Kumpula";"fi";"24,01";"34,72";"yksin-asuva";"9,52";"80,95"
"mita-ajattelet-tulevaisuuden-k";"234";"719";"2013-11-04T09:25";"89,05";"erittain-epatodennakoisesti";"70,4";"joukkoliikenne";"73,97";"13,49";"25,95";"kavely"; ;"27,54";"56,91";"polkupyora";"30-39";"Eira";"fi";"20";"75,95";"yksin-asuva";"36,67";"95,4"
"mita-ajattelet-tulevaisuuden-k";"235";"694";"2013-11-04T09:23";"0";"melko-todennakoisesti";"78,73";"joukkoliikenne";"0";"50,16";"0";"kavely"; ;"0";"0";"polkupyora";"30-39";"Herttoniemi (Roihuvuori)";"fi";"0";"0";"lapsiperhe";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"236";"711";"2013-11-04T09:24";"10,17";"melko-epatodennakoisesti";"25,08";"henkiloauto";"79,53";"90,76";"100";"kavely"; ;"100";"80,78";"polkupyora";"40-49";"Mellunkylä (Kontula,  Vesala, Mellunmäki, Kivikko, Kurkimäki)";"fi";"20,5";"100";"lapsiperhe";"100";"0"
"mita-ajattelet-tulevaisuuden-k";"237";"716";"2013-11-04T09:25"; ; ; ; ; ; ; ; ; ; ; ; ;"30-39"; ;"fi"; ; ;"yksin-asuva"; ; 
"mita-ajattelet-tulevaisuuden-k";"239";"740";"2013-11-04T09:26";"28,34";"melko-todennakoisesti";"22,38";"polkupyora";"43,02";"73,97";"22,78";"joukkoliikenne"; ;"13,65";"24,37";"kavely";"30-39";"Pitäjänmäki";"fi";"13,26";"16,83";"pariskunta";"26,75";"21,99"
"mita-ajattelet-tulevaisuuden-k";"240";"746";"2013-11-04T09:27";"29,53";"erittain-todennakoisesti";"24,76";"polkupyora";"33,89";"7,3";"22,38";"henkiloauto"; ;"13,75";"22,38";"joukkoliikenne";"40-49";"Malmi (Pihlajamäki, Tattariharju, Pihlajisto)";"en";"0";"0";"lapsiperhe";"0";"8,89"
"mita-ajattelet-tulevaisuuden-k";"243";"760";"2013-11-04T09:28";"0";"erittain-todennakoisesti";"28,17";"joukkoliikenne";"80,56";"8,33";"0";"kavely";"espoossa";"0";"100";"polkupyora";"20-24";"";"fi";"0";"100";"yksin-asuva";"31,75";"100"
"mita-ajattelet-tulevaisuuden-k";"244";"762";"2013-11-04T09:28";"0";"melko-epatodennakoisesti";"65,63";"kavely";"0";"6,53";"28,49";"joukkoliikenne"; ;"12,86";"0";"polkupyora";"30-39";"Taka-Töölö";"en";"41,83";"0";"pariskunta";"3,73";"6,39"
"mita-ajattelet-tulevaisuuden-k";"245";"765";"2013-11-04T09:28"; ;"vaikea-sanoa";"75,25";"joukkoliikenne"; ;"29,22"; ;"kavely"; ;"69,3";"22,87"; ;"30-39";"Etu-Töölö";"fi"; ;"73,67";"muu"; ; 
"mita-ajattelet-tulevaisuuden-k";"246";"766";"2013-11-04T09:28";"8,89";"erittain-epatodennakoisesti";"80,62";"henkiloauto";"26,44"; ;"41,52";"joukkoliikenne"; ;"39,14";"20,89";"polkupyora";"40-49";"Viikki";"fi";"85,38";"25,56";"lapsiperhe";"84,68";"12,46"
"mita-ajattelet-tulevaisuuden-k";"247";"767";"2013-11-04T09:28";"0";"melko-epatodennakoisesti";"18,41";"joukkoliikenne";"28,33";"0";"31,9";"henkiloauto";"kauniaisissa";"29,52";"9,68";"kavely";"40-49"; ;"fi";"100";"0";"lapsiperhe";"5,32";"11,67"
"mita-ajattelet-tulevaisuuden-k";"248";"773";"2013-11-04T09:29";"95,67";"erittain-epatodennakoisesti";"96,19";"kavely";"87,86";"10,48";"68,41";"polkupyora"; ; ;"10,08";"henkiloauto";"30-39";"Punavuori";"fi";"77,54";"100";"lapsiperhe";"73,17";"81,51"
"mita-ajattelet-tulevaisuuden-k";"249";"781";"2013-11-04T09:29";"0";"melko-todennakoisesti";"0";"henkiloauto";"0";"19,61";"85,08";"kavely"; ;"84,69";"0";"joukkoliikenne";"40-49";"Kruununhaka";"fi";"2,94";"0";"yksin-asuva";"0";"0"
"mita-ajattelet-tulevaisuuden-k";"250";"785";"2013-11-04T09:29";"0";"erittain-todennakoisesti";"22,78";"henkiloauto";"0";"22,87";"23,06";"joukkoliikenne"; ;"0";"0";"polkupyora";"25-29";"Toukola (Arabianranta)";"fi";"100";"26,44";"yksin-asuva";"99,37";"7,4"
"mita-ajattelet-tulevaisuuden-k";"251";"788";"2013-11-04T09:30"; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"fi"; ; ; ; ; 
"mita-ajattelet-tulevaisuuden-k";"252";"789";"2013-11-04T09:30";"58,49";"melko-todennakoisesti";"100";"henkiloauto";"100";"0";"86,27";"joukkoliikenne"; ;"76,75";"96,98";"kavely";"30-39";"Vartiokylä (Vartioharju, Puotila, Puotinharju, Myllypuro, Marjaniemi, Itäkeskus)";"fi";"100";"100";"pariskunta";"100";"100"
